年月,満足度,サポートサービス満足度,製品満足度,競合価格比
2019年1月,98.0%,98.0%,75.0%,95.0%
2019年2月,100.0%,95.0%,85.0%,81.0%
2019年3月,88.0%,50.0%,95.0%,96.0%
2019年4月,64.0%,77.0%,100.0%,105.0%
2019年5月,82.0%,81.0%,85.0%,119.0%
2019年6月,72.0%,62.0%,30.0%,104.0%
2019年7月,98.0%,70.0%,55.0%,93.0%
2019年8月,68.0%,50.0%,40.0%,95.0%
2019年9月,90.0%,86.0%,25.0%,105.0%
2019年10月,89.0%,48.0%,35.0%,98.0%
2019年11月,91.0%,100.0%,40.0%,91.0%
2019年12月,97.0%,22.0%,70.0%,90.0%
2020年1月,75.0%,40.0%,70.0%,129.0%
2020年2月,65.0%,80.0%,60.0%,102.0%
2020年3月,55.0%,50.0%,75.0%,124.0%
2020年4月,59.0%,42.0%,65.0%,130.0%
2020年5月,69.0%,66.0%,70.0%,92.0%
2020年6月,33.0%,32.0%,55.0%,133.0%
2020年7月,48.0%,55.0%,60.0%,107.0%
2020年8月,48.0%,97.0%,70.0%,114.0%
2020年9月,55.0%,73.0%,55.0%,104.0%
2020年10月,57.0%,96.0%,95.0%,119.0%
2020年11月,44.0%,72.0%,40.0%,121.0%
2020年12月,31.0%,35.0%,95.0%,124.0%
