年月,満足度,サポートサービス満足度,製品満足度,競合価格比
2019年1月,100.0%,89.0%,90.0%,129.0%
2019年2月,98.0%,89.0%,15.0%,108.0%
2019年3月,88.0%,81.0%,25.0%,89.0%
2019年4月,69.0%,67.0%,20.0%,93.0%
2019年5月,89.0%,72.0%,30.0%,119.0%
2019年6月,72.0%,88.0%,90.0%,129.0%
2019年7月,96.0%,70.0%,85.0%,92.0%
2019年8月,72.0%,47.0%,20.0%,129.0%
2019年9月,100.0%,65.0%,100.0%,130.0%
2019年10月,79.0%,81.0%,65.0%,115.0%
2019年11月,84.0%,68.0%,20.0%,89.0%
2019年12月,96.0%,71.0%,55.0%,121.0%
2020年1月,65.0%,52.0%,70.0%,112.0%
2020年2月,69.0%,60.0%,85.0%,100.0%
2020年3月,52.0%,53.0%,85.0%,113.0%
2020年4月,65.0%,73.0%,95.0%,102.0%
2020年5月,69.0%,58.0%,50.0%,92.0%
2020年6月,31.0%,82.0%,90.0%,109.0%
2020年7月,51.0%,61.0%,40.0%,105.0%
2020年8月,48.0%,44.0%,60.0%,120.0%
2020年9月,56.0%,38.0%,80.0%,106.0%
2020年10月,57.0%,43.0%,30.0%,108.0%
2020年11月,49.0%,47.0%,95.0%,106.0%
2020年12月,22.0%,39.0%,15.0%,105.0%
